, BRISBANE, FREMANTLE, ADELAIDE, MELBOURNE, SYDNEY, CHITTAGONG, ZEEBRUGGE, ANTWERP, SOKHNA, LE HAVRE, HAMBURG, BREMERHAVEN, HONG KONG, COCHIN, CHENNAI, NHAVA SHEVA, JAKARTA, TOKYO, NAGOYA, YOKOHAMA, KOBE, AQABAH, PUSAN, KWANGYANG, PORT KLANG, ROTTERDAM, DALIAN, XINGANG, QINGDAO, NINGBO, SHANGHAI, SALALAH, KARACHI, MANILA, JEDDAH, SINGAPORE, YANTIAN, XIAMEN, CHIWAN, COLOMBO, KAOHSIUNG, LAEM CHABANG, JEBEL ALI, THAMESPORT, SOUTHAMPTON, HO CHI MINH
 JEDDAH,7933,5638,6840,7169,7628,4061,3925,3971,620,3779,4248,4174,5742,2529,3349,2341,4576,7230,7107,7218,7023,554,6821,6770,4156,3985,6913,7053,6740,6351,6444,1268,2147,5637,0,4336,5758,5960,5746,2802,5942,5083,2124,3877,3770,4933
 SINGAPORE,3649,2152,3446,3775,4068,1491,8252,8298,4946,8106,8541,8501,1415,1848,1587,2429,483,2903,2780,2890,2696,4886,2494,2442,187,8312,2585,2726,2412,2023,2116,3186,2893,1309,4336,0,1431,1632,1419,1560,1615,755,3424,8204,8097,634
 YANTIAN,3866,3420,4726,4796,4285,2913,9673,9719,6368,9527,9956,9922,15,3291,3009,3873,1803,1573,1447,1560,1355,6308,1118,1064,1609,9733,1207,1348,1034,645,738,4608,4315,629,5758,1431,0,252,19,2982,335,1394,4846,9625,9518,951
 XIAMEN,3828,3495,4802,4757,4247,3114,9875,9921,6570,9729,10151,10124,260,3485,3211,4066,1966,1323,1197,1310,1105,6509,866,812,1811,9935,955,1096,782,393,486,4810,4517,648,5960,1632,252,0,272,3184,164,1597,5047,9827,9720,1136
 CHIWAN,3872,3418,4725,4801,4291,2901,9661,9707,6356,9515,9932,9910,17,3267,2997,3848,1794,1592,1466,1580,1375,6296,1137,1084,1597,9721,1226,1367,1053,664,758,4596,4303,637,5746,1419,19,272,0,2970,354,1382,4834,9613,9506,914
 COLOMBO,5191,3148,4392,4721,5181,1285,6718,6764,3412,6572,7006,6967,2966,306,573,888,1834,4454,4331,4442,4247,3352,4046,3994,1380,6778,4137,4277,3964,3575,3668,1643,1345,2861,2802,1560,2982,3184,2970,0,3166,2307,1876,6670,6563,2193
 KAOHSIUNG,3672,3384,4691,4601,4091,3097,9858,9904,6553,9712,10156,10107,342,3509,3193,4090,1917,1319,1194,1307,1107,6492,904,855,1794,9918,1014,1155,842,453,546,4793,4500,527,5942,1615,335,164,354,3166,0,1591,5030,9810,9703,1122
 LAEM CHABANG,4156,2894,4187,4516,4575,2238,8998,9044,5693,8852,9282,9247,1378,2617,2334,3198,1224,2890,2764,2877,2677,5633,2463,2409,934,9058,2552,2693,2379,1990,2083,3933,3640,1376,5083,755,1394,1597,1382,2307,1591,0,4218,8948,8833,589
 JEBEL ALI,7054,4993,6235,6564,7023,3149,6039,6085,2734,5893,6435,6288,4830,1616,2437,1145,3698,6318,6195,6306,6111,2673,5909,5857,3244,6099,6000,6144,5828,5438,5532,862,688,4725,2124,3424,4846,5047,4834,1876,5030,4218,0,6064,5949,4080
 THAMESPORT,11800,9506,10707,11036,11496,7929,95,144,3269,132,386,327,9610,6407,7216,6219,8444,11098,10975,11085,10891,3522,10689,10637,8023,150,10780,10921,10607,10218,10311,5136,6014,9505,3877,8204,9625,9827,9613,6670,9810,8948,6064,0,165,8810
 SOUTHAMPTON,11693,9399,10600,10929,11389,7822,185,231,3162,103,505,429,9503,6292,7109,6104,8337,10991,10868,10978,10784,3415,10582,10530,7916,244,10673,10814,10500,10111,10204,5029,5907,9398,3770,8097,9518,9720,9506,6563,9703,8833,5949,165,0,8695
 HO CHI MINH,3836,2774,4065,4385,4709,2118,8831,8889,5535,8695,9145,9091,914,2479,2210,3061,1088,2424,2307,2413,2224,5482,1988,1995,830,8896,2093,2242,1921,1572,1644,3796,3513,910,4933,634,951,1136,914,2193,1122,589,4080,8810,8695,0
